n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
285,500,3,0.7312334648973622,0.7920220283324547,214.6611289185024
263,600,3,0.7084195809451171,0.4139991173128692,245.47019256303332
232,700,3,0.6542995650778566,0.5080216973624644,157.6670891873612
184,800,3,0.554141594008797,0.6330932635665907,96.69537488747955
137,900,3,0.4032927280009886,0.7998691913568345,61.00053188992571
91,1000,3,0.15908631124417025,0.9597345297614214,20.585728375322002
34,500,4,-0.24553152559118757,1.3408587210507854,7.8557236276682465
41,600,4,-0.15215635465846825,1.3432756622214161,10.30522320198156
56,700,4,-0.02453886448536641,1.3391276165823638,14.17957612953423
62,800,4,0.09396079559895178,1.3984549724893989,23.39433233703838
57,900,4,0.12083227072924528,1.417234761341927,33.577902557132134
44,1000,4,0.023020178028083465,1.316104229779413,27.006796057784808
30,500,5,-0.2654370739162836,1.3499216999979602,7.752312466450248
39,600,5,-0.17374727238996604,1.3267933173836375,9.91865567348868
50,700,5,-0.06137874360167895,1.2965168524017043,14.112978557783492
61,800,5,0.07822981010350454,1.3807034985990774,22.855227673784896
53,900,5,0.09032165356842581,1.4457906840336423,30.292956119007826
44,1000,5,0.014204520619879013,1.3261756965153972,26.59956995909555
28,500,6,-0.2714864533817885,1.3498114810269963,7.789226869564908
36,600,6,-0.1949880962221495,1.363809309711681,9.553333212255161
49,700,6,-0.06948632654671552,1.2911547192031072,14.04306001282769
58,800,6,0.05352265672170579,1.3665101388211829,21.003191060819983
52,900,6,0.08165257022896655,1.4682585383253188,29.34327382603313
42,1000,6,-0.0012415394137452285,1.3494769308703436,25.40111384274585
